Year,Category,MatchSec,Date,DayOfWeek,HomeE,HomeJ,AwayE,AwayJ,HomeGoals,AwayGoals,MatchID,Venue,Attendance
2021,Ｊ１,第１節第１日,2021/2/26,金,kawasakif,川崎Ｆ,yokohamafm,横浜FM,2,0,24974,等々力,4868
2021,Ｊ１,第１節第２日,2021/2/27,土,urawa,浦和,ftokyo,FC東京,1,1,24976,埼玉,4943
2021,Ｊ１,第１節第２日,2021/2/27,土,sapporo,札幌,yokohamafc,横浜FC,5,1,24975,札幌ド,11897
2021,Ｊ１,第１節第２日,2021/2/27,土,oita,大分,tokushima,徳島,1,1,24978,昭和電ド,7012
2021,Ｊ１,第１節第２日,2021/2/27,土,hiroshima,広島,sendai,仙台,1,1,24977,Ｅスタ,8820
2021,Ｊ１,第１節第２日,2021/2/27,土,kashima,鹿島,shimizu,清水,1,3,24979,カシマ,9312
2021,Ｊ１,第１節第２日,2021/2/27,土,shonan,湘南,tosu,鳥栖,0,1,24980,レモンＳ,4721
2021,Ｊ１,第１節第２日,2021/2/27,土,cosaka,Ｃ大阪,kashiwa,柏,2,0,24981,ヤンマー,4481
2021,Ｊ１,第１節第２日,2021/2/27,土,kobe,神戸,gosaka,Ｇ大阪,1,0,24982,ノエスタ,4636
2021,Ｊ２,第１節第１日,2021/2/27,土,nagasaki,長崎,kanazawa,金沢,2,1,25355,トラスタ,6436
2021,Ｊ２,第１節第１日,2021/2/27,土,kitakyushu,北九州,niigata,新潟,1,4,25354,ミクスタ,3447
2021,Ｊ１,第１節第３日,2021/2/28,日,fukuoka,福岡,nagoya,名古屋,1,2,24983,ベススタ,4991
2021,Ｊ２,第１節第２日,2021/2/28,日,sagamihara,相模原,kyoto,京都,0,2,25356,ギオンス,2470
2021,Ｊ２,第１節第２日,2021/2/28,日,mito,水戸,omiya,大宮,1,2,25357,Ｋｓスタ,3312
2021,Ｊ２,第１節第２日,2021/2/28,日,chiba,千葉,kofu,甲府,1,1,25360,フクアリ,3798
2021,Ｊ２,第１節第２日,2021/2/28,日,kusatsu,群馬,akita,秋田,2,1,25359,正田スタ,3415
2021,Ｊ２,第１節第２日,2021/2/28,日,machida,町田,yamagata,山形,1,1,25361,Ｇスタ,2618
2021,Ｊ２,第１節第２日,2021/2/28,日,tochigi,栃木,okayama,岡山,0,2,25358,カンセキ,4616
2021,Ｊ２,第１節第２日,2021/2/28,日,tokyov,東京Ｖ,ehime,愛媛,3,0,25362,味スタ,3411
2021,Ｊ２,第１節第２日,2021/2/28,日,ryukyu,琉球,iwata,磐田,1,0,25363,タピスタ,3871
2021,Ｊ２,第１節第２日,2021/2/28,日,yamaguchi,山口,matsumoto,松本,0,0,25364,みらスタ,4862
2021,Ｊ１,第１１節第１日,2021/3/3,水,kawasakif,川崎Ｆ,cosaka,Ｃ大阪,3,2,25074,等々力,4756
2021,Ｊ１,第２節第１日,2021/3/6,土,shimizu,清水,fukuoka,福岡,2,2,24986,アイスタ,9063
2021,Ｊ１,第２節第１日,2021/3/6,土,ftokyo,FC東京,cosaka,Ｃ大阪,3,2,24985,味スタ,4768
2021,Ｊ１,第２節第１日,2021/3/6,土,tokushima,徳島,kobe,神戸,1,1,24987,鳴門大塚,7454
2021,Ｊ１,第２節第１日,2021/3/6,土,sendai,仙台,kawasakif,川崎Ｆ,1,5,24984,ユアスタ,9005
2021,Ｊ１,第２節第１日,2021/3/6,土,yokohamafc,横浜FC,oita,大分,1,2,24988,ニッパツ,4422
2021,Ｊ１,第２節第１日,2021/3/6,土,tosu,鳥栖,urawa,浦和,2,0,24990,駅スタ,7452
2021,Ｊ１,第２節第１日,2021/3/6,土,kashiwa,柏,shonan,湘南,2,1,24991,三協Ｆ柏,3898
2021,Ｊ１,第２節第１日,2021/3/6,土,nagoya,名古屋,sapporo,札幌,1,0,24992,豊田ス,9846
2021,Ｊ２,第２節第１日,2021/3/6,土,niigata,新潟,nagasaki,長崎,1,0,25365,デンカＳ,9442
2021,Ｊ２,第２節第１日,2021/3/6,土,omiya,大宮,kofu,甲府,0,2,25366,ＮＡＣＫ,4000
2021,Ｊ２,第２節第１日,2021/3/6,土,kitakyushu,北九州,mito,水戸,1,2,25368,ミクスタ,2504
2021,Ｊ２,第２節第１日,2021/3/6,土,iwata,磐田,machida,町田,1,3,25367,ヤマハ,6791
2021,Ｊ２,第２節第１日,2021/3/6,土,ryukyu,琉球,yamaguchi,山口,2,1,25369,タピスタ,1086
2021,Ｊ１,第２節第２日,2021/3/7,日,yokohamafm,横浜FM,hiroshima,広島,3,3,24993,日産ス,4906
